,škola,třída,datum narození,datum testu,gender,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,subtest 1,subtest 2,subtest 3,subtest 4,subtest 5,subtest 6,subtest 7,subtest 8,test 1,test 2,test 3,test 4, TMC
131,B,3.C,,2021-11-25,F,3.0,3.0,1.0,9.0,11.0,6.0,12.0,4.0,5.0,6.0,3.0,5.0,5.0,4.0,5.0,32.0,15.0,9.0,18.0,8.0,4.0,5.0,5.0,4.0,5.0,10.0,10.0,10.0,6.0,10.0,5.0,6.0,7.0,10.0,10.0,1.0,8.5,38.0,35.0,20.0,33.0,5.0,5.0,0.0,3.0,7.0,4.0,0.0,130.0,20.0,9.0,60.0,60.0,3.0,16.0,23.0,17.0,9.0,18.0,9.0,18.0,37.0,53.0,45.0,56.0,47.0
166,B,4.B,,2021-06-28,M,3.0,3.0,1.0,6.0,12.0,7.0,12.0,3.0,5.0,6.0,3.0,5.0,5.0,0.0,4.0,30.0,17.0,8.0,17.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,4.0,9.7,26.0,30.0,18.0,19.0,5.0,2.0,4.0,3.0,10.0,9.0,2.0,110.0,17.0,15.0,60.0,28.0,5.0,6.0,17.0,20.0,15.0,9.0,7.0,12.0,25.0,42.0,56.0,40.0,37.0
167,B,4.B,,2021-06-28,M,3.0,2.0,2.0,5.0,12.0,8.0,8.0,4.0,5.0,6.0,3.0,5.0,5.0,2.0,4.0,32.0,17.0,8.0,20.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,5.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,8.3,20.0,36.0,25.0,35.0,5.0,5.0,5.0,3.0,6.0,10.0,1.0,95.0,21.0,17.0,60.0,60.0,5.0,13.0,22.0,18.0,7.0,17.0,13.0,18.0,31.0,56.0,45.0,56.0,46.0
169,B,4.B,,2021-06-28,M,3.0,3.0,0.0,18.0,0.0,9.0,12.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,29.0,12.0,6.0,14.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,9,20.0,41.0,20.0,34.0,5.0,1.0,5.0,3.0,10.0,8.0,1.0,135.0,11.0,14.0,60.0,15.0,1.0,10.0,9.0,21.0,6.0,15.0,9.0,13.0,20.0,32.0,47.0,49.0,32.0
171,B,4.B,,2021-06-28,F,3.0,3.0,1.0,13.0,12.0,9.0,12.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,34.0,17.0,7.0,15.0,6.0,4.0,4.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.4,16.0,43.0,29.0,36.0,5.0,5.0,5.0,5.0,10.0,10.0,3.0,105.0,5.0,16.0,60.0,35.0,4.0,13.0,15.0,16.0,12.0,16.0,21.0,12.0,35.0,58.0,47.0,49.0,46.0
174,D,1.A,,2022-03-14,F,3.0,2.0,1.0,10.0,11.0,5.0,10.0,3.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,36.0,11.0,8.0,14.0,6.0,4.0,5.0,5.0,3.0,3.0,10.0,10.0,10.0,6.0,10.0,6.0,6.0,2.0,10.0,10.0,10.0,8.7,12.0,45.0,17.0,27.0,3.0,3.0,4.0,3.0,10.0,10.0,4.0,1.0,11.0,14.0,45.0,40.0,1.0,11.0,17.0,17.0,14.0,15.0,21.0,15.0,28.0,59.0,51.0,49.0,45.0
267,A,1.A,,2021-11-08,M,3.0,3.0,0.0,12.0,9.0,7.0,12.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,6.0,35.0,11.0,7.0,14.0,6.0,4.0,5.0,5.0,5.0,4.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,11,22.0,39.0,3.0,33.0,5.0,5.0,4.0,2.0,8.0,7.0,4.0,90.0,0.0,3.0,60.0,15.0,13.0,21.0,21.0,22.0,27.0,15.0,21.0,11.0,54.0,66.0,72.0,46.0,62.0
360,,,,2021-06-28,F,3.0,3.0,1.0,10.0,11.0,12.0,12.0,0.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,40.0,15.0,7.0,15.0,8.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,3.0,9.0,10.0,6.0,9.6,44.0,50.0,26.0,32.0,5.0,5.0,3.0,5.0,4.0,4.0,2.0,100.0,5.0,14.0,60.0,60.0,3.0,2.0,15.0,19.0,10.0,18.0,10.0,11.0,21.0,43.0,47.0,49.0,36.0
368,,,,2021-06-28,M,3.0,3.0,3.0,21.0,0.0,10.0,12.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,12.0,6.0,14.0,5.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,8.0,8.0,14.3,40.0,11.0,8.0,13.0,4.0,3.0,3.0,4.0,10.0,7.0,3.0,65.0,0.0,0.0,60.0,60.0,1.0,13.0,1.0,19.0,17.0,1.0,6.0,3.0,28.0,24.0,58.0,20.0,28.0
371,,,,2021-06-28,M,3.0,3.0,1.0,10.0,11.0,10.0,12.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,40.0,14.0,8.0,6.0,12.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,0.0,0.0,10.0,0.0,9.7,14.0,39.0,12.0,23.0,5.0,5.0,5.0,4.0,10.0,10.0,3.0,90.0,3.0,11.0,0.0,19.0,6.0,16.0,16.0,21.0,1.0,8.0,17.0,3.0,38.0,53.0,40.0,20.0,33.0
